CBO;DIT;FanIn ;FanOut ;LCOM;NOC;RFC;WMC;LOC;Attributes ;AttributesInherited ;Methods ;MethodsInherited ;Bugs 
29;2;26;3;28;2;15;11;35;6;28;8;16;0
15;1;2;13;15;0;67;19;152;1;0;6;8;0
12;1;10;2;28;0;21;15;52;1;0;8;8;0
94;4;52;50;4753;1;664;344;1607;9;63;98;177;4
13;2;5;9;36;1;47;36;139;9;141;9;35;2
22;2;1;22;91;0;107;117;343;3;68;14;33;2
15;2;4;11;91;0;120;89;286;6;45;14;4;0
5;2;1;4;91;0;53;27;107;5;95;14;68;0
3;7;1;2;6;0;12;4;14;0;387;4;101;0
12;4;2;10;28;0;38;17;64;1;28;8;91;0
6;1;1;5;231;1;83;62;275;11;0;22;25;0
5;2;1;5;21;0;16;27;57;1;68;7;33;1
4;1;2;2;1;2;7;4;15;6;12;2;16;0
3;1;0;3;10;0;8;13;26;3;14;5;11;0
4;3;1;4;78;0;39;23;76;6;95;13;73;0
12;1;6;7;351;1;106;54;269;12;19;27;0;0
3;1;1;2;45;0;24;30;117;4;0;10;16;0
5;2;1;5;3;0;17;15;49;4;8;3;19;0
49;2;3;46;120;0;265;229;1189;22;13;16;19;1
8;2;5;3;10;1;12;7;21;4;28;5;16;0
3;2;1;2;28;0;17;20;56;0;6;8;11;0
2;2;1;1;3;0;4;3;11;1;68;3;33;0
10;2;4;7;10;0;28;15;58;3;3;5;10;1
15;6;1;14;21;0;132;75;336;2;423;7;107;0
5;1;4;1;21;0;12;7;28;3;0;7;8;0
1;4;1;0;1;0;2;1;3;0;4;2;21;0
2;2;0;2;10;0;16;8;23;1;54;5;19;1
17;1;14;3;300;6;43;54;172;4;0;25;8;0
4;1;2;3;21;0;17;13;35;1;3;7;12;0
15;1;7;8;28;3;56;22;126;6;0;8;11;0
4;4;2;2;6;0;7;6;16;1;3;4;38;2
12;5;2;10;15;1;74;53;174;3;397;6;94;0
10;3;9;1;91;0;17;55;163;2;40;14;71;0
7;3;5;3;105;0;43;21;80;5;95;15;76;0
3;3;1;2;3;0;6;5;22;3;1;3;31;0
8;2;0;8;28;0;34;19;52;0;2;8;18;0
108;1;49;93;7381;0;347;182;804;17;0;122;8;0
11;2;1;10;153;0;66;86;321;12;0;18;11;0
2;4;1;1;1;0;3;2;10;2;421;2;68;0
6;1;1;5;36;0;31;33;118;3;0;9;16;0
6;6;0;6;21;1;20;47;128;1;385;7;79;0
4;1;2;2;21;0;17;26;79;4;0;7;8;0
10;4;1;9;15;1;37;18;72;3;384;6;69;0
5;3;1;4;78;0;42;20;97;3;95;13;73;0
11;1;9;2;6;0;10;10;35;5;0;4;8;0
1;1;1;0;1;0;2;2;8;3;0;2;8;0
2;1;0;2;3;0;15;8;29;2;0;3;0;0
5;5;2;3;36;1;30;29;63;7;67;9;47;1
2;1;1;1;6;0;10;13;41;3;0;4;8;0
5;5;1;4;15;0;14;8;29;1;70;6;264;0
15;1;7;8;78;0;37;14;54;1;0;13;8;0
4;1;0;4;55;0;34;18;117;9;0;11;8;0
1;4;1;0;0;0;1;1;5;1;35;1;47;0
7;2;7;0;15;0;7;7;19;3;152;6;41;0
12;1;8;4;55;0;37;41;144;4;0;11;16;0
1;4;1;0;0;0;1;0;0;0;7;1;25;0
4;3;1;4;91;0;51;27;106;5;95;14;73;0
10;1;1;9;28;0;57;33;157;1;0;8;8;0
1;1;1;0;946;0;45;44;169;20;0;44;28;0
24;2;1;23;120;0;100;63;190;4;6;16;24;2
3;8;3;1;10;0;8;6;23;1;73;5;267;0
8;1;1;7;6;0;20;9;37;2;0;4;8;0
10;8;5;8;66;0;31;16;59;4;69;12;304;0
3;7;1;2;6;0;12;4;13;2;387;4;101;0
10;4;4;6;28;0;27;23;60;2;396;8;57;0
5;6;1;4;1;0;9;4;15;0;388;2;81;0
3;2;1;2;21;0;10;8;26;1;4;7;33;0
12;1;6;6;105;0;81;66;189;15;0;15;8;0
3;1;2;1;6;0;21;12;55;0;0;4;8;0
7;3;4;3;28;0;18;75;312;0;20;8;84;0
12;4;10;2;28;4;18;13;42;0;384;8;69;1
20;3;4;16;45;4;83;27;126;3;25;10;82;1
5;3;3;2;3;0;6;5;22;3;1;3;31;0
3;1;1;2;45;0;39;37;143;4;0;10;8;0
19;1;11;8;91;0;109;69;219;3;0;14;8;1
5;2;5;0;10;0;6;5;27;1;152;5;41;0
91;1;91;0;28;6;10;6;18;28;0;8;8;0
6;3;1;5;91;0;53;27;106;5;95;14;73;0
9;1;4;5;36;1;44;25;99;3;0;9;38;0
8;1;5;3;28;1;43;22;89;1;0;8;12;0
6;5;1;5;15;0;14;6;21;2;71;6;279;0
1;2;1;0;6;0;8;7;28;1;18;4;62;0
22;5;4;19;210;0;86;47;185;2;62;21;202;0
75;2;4;71;8515;0;2390;1680;7341;86;295;131;19;7
26;4;3;23;78;0;256;134;784;28;381;13;46;3
13;4;2;13;66;0;81;105;412;7;38;12;80;0
18;3;12;6;91;0;49;26;108;7;95;14;75;0
5;3;1;4;10;1;12;8;36;1;10;5;59;0
102;3;96;12;2926;8;290;308;840;11;41;77;72;1
5;3;1;4;190;0;74;42;158;9;95;20;73;0
2;6;1;1;28;0;26;18;56;2;405;8;100;0
3;1;2;1;21;0;11;22;71;4;0;7;8;0
5;1;4;1;3;0;7;3;12;1;0;3;8;0
18;2;1;17;780;0;405;316;1248;9;0;40;11;2
4;2;2;2;6;0;7;6;25;4;0;4;21;0
11;3;0;11;21;0;34;20;92;5;380;7;38;0
4;4;1;3;78;0;41;18;67;4;96;13;88;0
4;3;2;2;36;0;19;9;31;1;95;9;75;0
2;1;1;1;6;0;11;14;43;3;0;4;8;0
14;4;1;13;28;0;54;33;128;2;410;8;66;0
2;2;1;1;3;1;5;3;10;0;2;3;33;1
4;8;2;3;21;0;17;10;41;4;69;7;234;0
0;2;0;0;10;2;7;5;15;0;0;5;13;0
16;1;3;14;210;0;163;112;354;9;0;21;8;0
11;5;1;11;36;0;41;18;68;1;71;9;279;0
19;4;4;15;120;3;119;100;337;8;384;16;77;1
11;1;3;9;78;1;51;78;299;10;0;13;8;0
2;1;2;0;10;6;5;5;15;1;0;5;8;0
6;1;2;4;1378;4;241;117;423;5;0;53;8;0
9;2;7;2;300;0;43;28;96;15;95;25;70;0
6;1;6;0;10;2;5;0;0;5;0;5;8;0
13;2;1;12;136;0;53;40;123;12;0;17;32;0
39;1;3;36;351;2;248;171;639;20;0;27;10;2
1;6;0;1;28;0;13;9;32;1;384;8;79;0
5;2;2;3;15;0;14;8;27;1;141;6;35;0
9;1;7;2;66;0;21;25;78;4;0;12;8;0
6;2;4;3;66;0;30;14;53;3;95;12;68;0
20;5;10;11;28;4;55;37;105;2;384;8;87;0
10;6;1;9;15;0;87;53;226;2;415;6;117;0
4;3;1;3;3;0;8;4;15;2;1;3;31;0
2;2;0;2;10;26;13;5;15;0;95;5;68;0
14;1;6;8;10;0;29;15;80;39;0;5;8;0
21;3;0;21;28;1;78;38;124;1;34;8;78;0
13;4;1;12;28;0;70;25;158;7;381;8;46;0
3;5;1;2;6;0;13;10;28;0;34;4;87;0
7;3;1;6;66;0;33;16;62;2;38;12;119;0
22;5;14;9;28;6;30;19;63;1;384;8;87;0
8;1;3;5;136;1;31;34;127;21;0;17;8;1
14;5;1;13;28;0;73;58;253;2;412;8;94;0
5;3;1;4;36;0;56;69;261;13;0;9;18;0
19;1;18;1;231;0;48;34;95;20;0;22;8;0
13;3;2;11;21;0;31;14;57;1;25;7;82;0
5;4;5;0;0;0;1;1;3;1;6;1;27;0
16;2;11;5;666;0;169;131;485;9;28;37;30;0
7;3;2;5;91;0;53;27;106;5;95;14;73;0
5;3;1;4;91;0;51;27;106;5;95;14;73;0
4;2;4;0;66;0;14;12;38;1;152;12;41;0
20;6;9;12;105;0;100;49;186;6;61;15;207;0
33;1;27;6;105;0;287;392;974;218;0;15;8;1
4;1;1;3;3;0;18;7;36;1;0;3;10;0
37;1;35;2;91;0;34;52;136;15;0;14;8;0
6;4;1;5;15;0;34;46;146;4;61;6;45;1
33;1;3;31;253;0;346;197;781;5;0;23;15;0
11;3;6;6;153;0;69;37;136;9;97;18;84;0
4;1;3;1;10;0;11;6;26;7;0;5;8;0
15;2;4;11;171;1;76;56;152;6;6;19;24;0
34;1;9;28;2278;1;493;283;1119;33;0;68;33;1
35;4;19;20;1275;1;296;256;866;10;49;51;151;2
5;6;1;4;6;0;16;6;26;0;397;4;72;0
8;4;1;7;1;0;23;13;56;0;421;2;68;0
8;1;3;5;78;0;34;29;99;11;0;13;8;0
1;4;1;0;6;0;4;5;31;3;413;4;67;0
7;1;0;7;1;0;28;3;21;10;0;2;0;0
4;2;0;4;10;0;222;56;306;2;0;5;22;1
19;2;8;11;190;3;85;36;142;7;18;20;62;0
7;2;3;4;91;0;72;35;121;5;5;14;13;0
4;3;1;3;136;0;62;33;132;7;95;17;73;0
2;3;1;1;36;0;18;9;31;1;95;9;73;0
102;2;76;29;1540;2;225;132;505;23;16;56;18;1
10;1;6;5;171;2;78;33;149;4;2;19;8;0
5;5;1;4;3;0;24;14;41;0;397;3;94;0
4;3;2;2;55;0;27;13;45;3;95;11;73;0
3;5;3;0;1;0;3;2;7;1;54;2;138;0
1;1;0;1;1;0;8;4;21;6;0;2;23;0
0;1;0;0;1;0;2;2;6;2;0;2;8;0
1;1;1;0;6;1;4;2;6;16;547;4;20;0
48;2;36;18;378;3;111;95;314;17;391;28;31;0
7;1;6;1;1;0;3;2;6;313;0;2;0;1
14;4;2;12;36;0;45;22;77;0;28;9;91;0
2;7;1;1;28;0;26;18;56;2;397;8;102;0
4;5;1;3;6;0;17;6;25;2;397;4;64;0
14;1;1;13;465;0;181;107;356;15;0;31;8;0
12;1;0;12;21;0;88;39;200;9;0;7;8;0
7;2;2;6;6;0;25;6;38;1;18;4;62;0
4;2;1;3;3;0;11;10;37;2;2;3;15;1
0;1;0;0;1;0;3;2;6;0;0;2;8;0
2;1;1;1;820;0;45;41;145;1;0;41;8;0
8;4;3;6;55;0;46;58;154;16;61;11;45;1
26;2;1;25;1770;0;178;124;402;7;6;60;67;0
25;4;11;14;210;0;139;138;431;3;384;21;69;1
18;3;2;18;28;0;77;29;149;2;15;8;17;1
44;1;6;44;1326;0;794;468;2116;26;0;52;8;2
10;4;3;8;561;0;151;82;303;19;99;34;100;0
16;1;4;13;120;0;108;63;329;214;201;16;8;1
10;3;5;6;171;0;73;40;156;10;95;19;73;0
2;1;1;1;6;0;12;7;28;3;0;4;10;0
4;1;2;2;3;0;15;45;311;14;0;3;8;0
17;5;10;7;45;2;22;37;115;5;56;10;197;1
3;7;3;1;10;1;9;6;23;1;69;5;229;0
0;1;0;0;231;0;22;22;66;0;0;22;30;0
31;1;2;29;91;0;138;155;648;18;0;14;8;2
4;3;2;2;55;3;25;16;57;16;380;11;46;0
9;3;2;8;210;0;88;43;170;9;97;21;84;0
14;1;2;12;28;2;53;55;246;4;0;8;8;0
5;2;2;3;15;0;13;10;37;5;9;6;23;0
4;1;3;1;45;1;19;13;44;2;0;10;8;0
5;8;2;4;28;0;19;11;44;4;70;8;260;0
7;3;2;6;6;1;29;22;95;1;13;4;55;0
5;4;0;5;6;3;24;17;49;0;61;4;45;1
2;2;2;0;0;1;1;1;4;2;5;1;25;0
5;6;1;4;6;0;17;6;27;3;397;4;72;0
3;1;0;3;91;0;59;38;142;3;0;14;8;2
8;2;4;4;171;2;60;44;233;3;7;19;40;0
7;5;5;2;45;2;13;9;34;3;8;10;37;0
9;2;1;8;78;0;39;25;92;11;0;13;30;0
4;3;2;2;6;0;8;8;27;5;388;4;33;0
2;1;1;1;36;0;23;36;94;4;0;9;8;0
1;4;1;0;0;0;1;1;3;0;3;1;38;1
13;2;2;12;136;0;74;102;409;13;118;17;33;0
8;4;3;6;66;1;56;64;180;22;61;12;45;1
14;1;1;14;210;0;77;29;195;2;0;21;21;0
8;3;3;5;6;0;14;7;54;4;150;4;44;2
20;4;4;16;105;1;89;77;221;2;384;15;69;0
25;4;20;9;253;1;101;117;333;6;49;23;148;1
1;1;1;0;1;0;2;4;12;4;0;2;8;0
1;1;1;0;1;1;2;1;3;9;0;2;8;0
0;5;0;0;3;3;3;3;12;0;384;3;76;0
3;3;1;2;6;0;16;8;32;1;10;4;59;0
24;2;8;16;55;0;105;67;316;5;3;11;20;0
8;1;2;7;190;0;78;41;128;3;0;20;8;0
3;2;2;1;3;0;5;3;10;0;84;3;16;0
12;4;2;10;15;0;27;17;59;1;28;6;91;0
2;1;1;1;120;0;39;20;78;5;0;16;8;0
2;1;2;0;0;0;1;1;3;2;0;1;23;0
9;1;1;8;6;0;25;33;153;13;0;4;16;2
11;1;10;1;300;9;38;34;111;13;0;25;8;0
7;1;4;3;1;0;9;3;11;0;0;2;8;0
20;1;2;20;496;0;294;276;1117;28;0;32;8;0
3;3;1;2;21;0;13;9;32;1;2;7;17;0
9;4;1;8;78;0;40;25;101;1;398;13;56;1
3;3;1;2;3;0;6;5;22;3;1;3;31;0
4;2;4;0;66;0;14;13;40;2;152;12;41;0
13;3;5;10;231;0;81;139;468;20;119;22;40;0
3;4;1;2;0;0;5;1;10;2;43;1;33;0
2;1;2;0;91;3;20;30;79;4;0;14;8;0
2;2;2;0;0;0;1;1;3;0;2;1;33;0
6;6;1;5;3;0;24;15;59;0;394;3;102;0
15;6;1;14;91;0;289;179;799;0;415;14;117;0
2;2;1;1;15;0;13;9;30;3;1;6;12;0
11;2;1;11;66;0;71;87;222;1;68;12;33;1
7;2;0;7;55;0;34;34;158;9;4;11;33;0
3;1;3;0;6;0;5;1;10;0;0;4;8;0
2;3;2;0;0;0;1;0;0;3;4;1;19;0
16;5;1;15;6;0;118;83;311;2;426;4;94;2
8;4;2;7;171;0;63;30;118;9;99;19;100;0
1;2;1;0;0;0;1;1;3;0;2;1;33;0
3;6;2;1;55;0;24;19;63;8;385;11;95;0
4;3;1;3;105;0;48;25;96;5;95;15;73;0
4;1;2;3;15;7;13;7;24;3;5;6;13;0
2;3;1;1;1;0;3;2;7;1;1;2;30;0
7;3;2;5;120;0;59;27;108;7;95;16;73;0
8;2;6;2;91;2;19;5;15;0;95;14;68;0
3;4;1;2;3;0;9;4;22;0;410;3;66;0
2;5;2;0;3;1;6;5;16;0;388;3;78;0
4;6;0;4;10;0;16;16;85;2;385;5;79;0
12;3;1;11;15;0;85;40;232;7;380;6;38;0
4;1;3;1;55;0;281;480;2140;262;0;11;8;2
6;1;3;3;1;0;18;11;51;1;0;2;8;1
0;3;0;0;1;0;2;2;6;1;159;2;30;0
4;3;1;3;15;1;20;14;51;3;2;6;19;0
26;2;22;4;10;22;17;10;48;1;95;5;68;0
35;2;27;8;55;19;38;21;99;0;380;11;27;0
9;2;5;5;153;0;61;31;121;8;95;18;68;0
3;6;1;2;3;0;11;9;23;0;394;3;107;0
4;4;2;3;21;1;15;11;30;1;52;7;127;0
29;2;2;28;120;0;106;60;282;5;28;16;25;0
5;1;2;3;55;0;24;23;78;5;0;11;8;0
2;6;0;2;21;0;14;11;38;1;384;7;79;0
4;2;3;1;10;3;6;5;15;2;2;5;14;0
3;5;3;0;10;0;6;4;12;2;8;5;33;0
13;5;0;13;36;0;142;141;445;9;412;9;94;0
7;3;0;7;15;0;22;8;38;1;2;6;17;0
4;6;1;3;3;0;16;14;38;1;394;3;107;0
4;2;1;3;15;0;11;8;28;5;0;6;24;0
20;5;2;18;231;4;197;168;547;10;384;22;85;6
13;2;1;13;10;0;66;31;141;0;18;5;62;0
7;2;1;7;55;1;36;56;186;8;4;11;33;0
11;1;5;9;21;0;59;20;128;2;0;7;8;0
17;5;11;6;276;0;54;56;193;10;9;24;42;0
13;5;1;12;10;1;65;49;142;5;392;5;93;0
13;2;6;8;435;2;133;112;392;12;3;30;30;0
58;1;25;40;2080;0;413;217;1058;182;0;65;0;4
13;3;1;12;66;0;352;258;1081;14;1;12;40;1
2;1;1;1;6;0;10;5;17;1;0;4;11;0
15;1;12;3;45;5;15;14;67;3;0;10;8;0
4;2;2;2;66;0;32;17;63;3;95;12;68;0
6;3;1;5;36;0;26;34;123;3;135;9;67;0
14;7;3;13;91;1;59;23;81;0;69;14;229;2
9;2;4;5;78;1;34;53;193;4;402;13;8;1
16;2;1;15;153;0;220;113;638;2;133;18;46;1
18;2;8;10;6;2;78;60;189;4;380;4;27;0
47;1;34;13;528;9;2062;898;1500;1;151;33;8;0
6;3;2;5;171;0;72;38;137;10;95;19;73;0
4;3;1;3;6;0;9;7;33;5;1;4;31;0
30;4;6;25;528;1;179;103;356;3;64;33;162;0
7;6;2;5;6;0;22;10;38;0;386;4;95;0
5;2;3;2;28;0;16;15;35;2;0;8;16;0
46;2;15;38;741;0;285;172;644;11;47;39;32;3
12;5;1;11;78;0;77;27;127;0;67;13;194;0
2;5;2;0;1;0;3;2;7;1;54;2;143;0
6;6;0;6;28;1;25;35;110;3;385;8;79;0
0;1;0;0;0;5;0;0;0;129;282;0;8;4
20;1;4;16;378;0;246;142;560;17;0;28;8;1
9;2;0;9;21;0;49;20;144;3;19;7;15;0
7;3;2;6;153;0;60;31;123;5;95;18;73;0
10;2;1;9;45;1;77;37;155;5;18;10;18;1
17;1;1;16;15;0;55;31;140;2;12;6;11;0
0;1;0;0;0;0;1;1;3;1;0;1;22;0
19;2;1;18;55;0;109;48;240;10;17;11;19;0
5;1;1;4;28;1;25;7;23;0;0;8;8;0
11;2;1;10;6;0;27;12;44;5;12;4;31;0
6;2;2;4;15;1;18;12;50;5;1;6;12;0
7;2;1;7;55;0;31;15;48;3;0;11;13;0
13;2;1;13;351;0;249;291;747;0;4;27;44;8
2;1;2;0;1;0;2;10;42;13;0;2;8;0
10;1;3;7;10;1;39;18;64;3;0;5;8;1
12;2;2;10;153;0;110;75;370;10;9;18;10;0
5;2;1;5;105;0;56;28;109;5;95;15;68;0
2;3;1;1;1;0;7;4;12;0;387;2;32;0
20;1;2;18;28;0;78;33;141;10;0;8;8;0
17;5;4;13;253;4;498;418;1782;3;412;23;94;0
6;1;4;2;45;3;13;6;18;0;0;10;8;0
4;7;3;2;15;1;12;7;26;1;69;6;298;0
8;2;1;8;6;0;29;8;41;0;18;4;62;0
6;2;4;2;6;0;6;6;18;3;0;4;15;0
5;1;2;3;3;0;59;52;155;32;0;3;8;0
15;4;8;10;351;0;143;150;533;10;49;27;148;1
8;4;1;7;15;0;44;38;142;3;384;6;69;0
2;5;0;2;6;0;8;4;13;1;69;4;54;1
7;3;1;7;120;0;70;35;141;7;95;16;73;0
1;1;1;0;120;1;40;27;105;12;0;16;15;0
144;1;131;30;2850;3;836;972;2877;13;249;76;8;8
1;1;1;0;0;0;3;1;3;0;0;1;8;0
2;1;1;1;0;0;2;1;4;2;0;1;23;0
2;3;0;2;1;0;6;4;15;1;6;2;18;0
7;2;1;6;21;0;17;8;57;0;28;7;25;0
3;6;0;3;15;0;16;10;39;0;415;6;93;0
156;2;129;36;81003;1;2603;1033;6571;5;4;403;13;8
1;6;1;0;21;0;12;7;23;2;385;7;98;0
34;2;17;25;325;0;362;310;1091;2;262;26;80;1
3;2;3;0;3;0;8;3;12;1;0;3;10;0
2;3;0;2;3;3;13;9;39;4;380;3;38;0
9;3;1;8;21;0;47;74;222;1;388;7;33;0
27;1;5;23;3160;0;752;764;3184;39;35;80;8;9
8;3;8;0;15;3;6;6;18;3;4;6;19;0
3;5;2;1;3;0;5;3;10;1;53;3;134;0
7;1;4;4;45;1;20;8;30;0;0;10;8;0
4;3;4;0;0;1;1;1;3;1;6;1;26;0
16;2;7;9;78;0;36;39;184;10;4;13;33;0
4;2;1;3;28;0;15;10;38;7;0;8;26;0
2;1;1;1;36;0;24;36;94;4;0;9;8;0
20;1;13;7;36;0;54;37;149;8;0;9;8;0
8;1;1;7;465;0;82;67;235;5;39;31;30;0
24;6;2;22;435;3;334;331;986;10;387;30;94;7
3;2;1;2;21;0;32;17;72;10;3;7;21;0
5;8;1;4;3;0;15;7;43;0;388;3;109;0
12;5;1;11;3;0;25;11;43;1;67;3;47;0
86;1;68;25;46665;1;1603;1542;6017;42;0;306;8;3
6;3;1;5;105;0;76;41;166;3;95;15;73;1
14;3;1;13;21;0;74;53;231;0;22;7;68;0
15;2;3;12;666;0;170;92;395;6;42;37;310;2
6;1;2;5;55;0;32;61;270;36;0;11;8;0
1;1;1;0;0;0;1;1;3;6;0;1;23;0
4;2;1;3;6;0;10;9;24;1;11;4;22;0
12;2;3;9;10;3;23;11;63;1;18;5;62;0
1;2;1;0;6;0;12;6;26;1;0;4;11;0
13;1;3;10;10;0;36;43;129;1;0;5;8;0
4;8;2;2;21;0;25;16;67;6;388;7;109;0
2;2;1;1;3;0;4;3;12;2;2;3;33;0
2;1;0;2;6;0;16;22;60;3;0;4;8;0
2;1;1;1;6;0;10;14;44;3;0;4;8;0
15;3;2;13;91;0;46;43;128;4;15;14;70;0
3;3;1;2;3;0;5;5;21;3;1;3;31;0
6;1;5;1;3;0;5;3;11;6;0;3;8;0
6;6;1;5;55;0;29;20;75;3;398;11;99;0
5;3;3;2;6;1;7;5;25;1;3;4;17;0
2;3;1;1;3;0;6;3;10;1;32;3;21;0
4;3;1;3;105;0;48;25;97;5;95;15;73;0
6;1;1;5;136;0;69;45;212;12;114;17;8;0
10;1;2;8;153;2;78;40;137;1;39;18;8;0
11;3;5;6;78;3;25;15;53;1;95;13;75;0
5;1;3;2;15;0;9;8;21;2;2;6;10;0
0;4;0;0;1;0;2;3;7;1;43;2;33;0
2;2;1;1;10;0;6;17;29;3;0;5;11;0
6;3;1;5;120;0;64;32;128;7;95;16;73;0
7;5;1;6;10;0;31;25;100;3;69;5;54;1
26;4;8;18;21;3;79;62;209;1;396;7;57;0
13;1;1;13;66;0;116;68;254;2;0;12;8;0
34;3;1;33;1176;0;262;166;1189;8;427;49;96;1
5;2;4;1;21;3;8;7;24;1;95;7;68;0
2;6;2;0;0;0;2;1;7;2;74;1;56;1
4;7;1;3;36;0;31;22;76;2;406;9;115;0
8;1;1;7;45;0;69;43;166;15;0;10;8;1
3;1;2;2;21;0;17;25;79;4;0;7;8;0
3;7;3;1;10;1;9;6;23;1;70;5;255;0
33;4;11;23;190;2;150;94;312;0;52;20;141;0
36;2;7;31;703;0;331;148;909;27;12;38;36;1
0;1;0;0;0;0;0;0;0;1;204;0;8;1
10;1;5;5;78;0;70;68;235;0;0;13;8;0
18;3;11;7;120;3;35;17;61;2;97;16;84;0
4;3;1;3;78;0;39;19;75;4;95;13;73;0
26;3;4;22;1225;1;230;188;849;7;406;50;20;0
3;3;1;3;66;0;37;19;72;3;95;12;73;0
3;6;1;2;10;0;15;9;46;3;386;5;85;0
10;1;4;7;36;1;31;23;75;6;5;9;13;0
11;3;0;11;15;0;60;32;163;5;380;6;38;0
125;1;82;48;5356;0;632;520;1892;14;0;104;8;4
0;1;0;0;0;0;1;1;4;3;0;1;23;0
3;3;1;2;231;0;25;22;66;1;19;22;27;0
3;1;3;0;1;0;2;1;3;0;0;2;8;0
16;2;1;16;55;0;60;85;256;1;68;11;33;3
2;1;1;1;3;0;8;4;18;4;0;3;8;0
4;5;1;3;3;0;21;12;44;0;397;3;94;0
2;1;1;1;10;1;9;5;38;4;0;5;8;0
33;1;8;28;231;0;168;79;419;21;0;22;8;1
7;3;0;7;6;0;21;9;44;3;19;4;67;1
10;3;1;9;105;0;39;27;89;1;50;15;118;0
12;3;1;11;10;0;58;36;152;3;19;5;67;0
3;4;1;2;55;0;32;15;54;2;96;11;88;0
9;4;3;6;36;2;53;65;240;8;61;9;45;1
3;7;1;2;3;0;10;5;16;0;384;3;99;0
110;1;70;61;7381;0;1026;489;2475;97;0;122;8;9
15;1;7;8;36;0;40;15;70;4;0;9;8;0
6;2;1;5;45;0;39;22;72;5;0;10;18;0
15;2;0;15;21;0;77;51;195;2;8;7;19;1
14;3;8;7;435;0;117;65;257;16;95;30;82;0
12;6;6;6;28;2;18;10;41;0;384;8;91;0
3;1;1;2;6;0;11;10;42;2;0;4;8;0
4;6;0;4;10;0;16;16;85;1;385;5;79;0
5;1;2;3;36;0;24;31;115;5;0;9;16;0
5;3;1;5;10;0;17;10;40;1;12;5;45;0
20;3;2;19;55;0;79;46;231;2;408;11;58;2
2;3;1;1;10;0;9;5;18;2;387;5;35;0
2;1;2;0;10;0;5;0;0;0;0;5;8;0
17;1;2;16;351;0;306;157;606;13;0;27;8;1
7;3;1;7;6;0;34;38;166;16;37;4;72;2
15;1;5;10;36;0;37;19;74;3;0;9;8;0
8;4;4;4;105;0;58;28;110;5;97;15;79;0
5;3;1;5;120;0;54;29;101;8;95;16;73;0
1;1;1;0;1;0;2;1;3;0;0;2;8;0
51;4;22;34;990;0;243;124;549;2;63;45;161;0
2;1;1;1;21;0;11;22;74;4;0;7;8;0
25;2;20;6;66;1;45;52;199;6;3;12;10;1
4;2;1;3;28;0;15;10;38;7;0;8;26;0
4;1;2;2;15;1;10;15;32;1;0;6;8;0
11;5;1;10;36;2;49;48;150;2;413;9;84;0
2;2;1;1;0;0;2;1;4;0;2;1;33;0
4;2;3;1;6;0;7;11;27;0;7;4;17;0
69;4;28;51;3081;2;442;216;830;4;68;79;200;1
26;1;2;25;21;0;61;37;162;8;0;7;8;0
2;1;1;1;3;0;8;3;12;1;0;3;0;0
18;1;7;13;630;1;267;292;736;5;0;36;8;3
8;4;1;7;120;0;45;22;89;2;50;16;174;0
2;7;1;1;10;0;8;6;17;2;396;5;102;0
5;6;2;3;45;0;27;17;63;6;386;10;95;0
6;5;3;3;10;0;14;9;34;2;388;5;78;0
15;2;1;14;630;0;113;119;435;17;2;36;41;0
3;6;0;3;15;0;16;18;72;1;385;6;79;0
12;2;3;9;3828;2;340;283;1384;25;402;88;8;0
6;4;2;4;66;1;30;18;57;2;52;12;131;0
3;1;2;1;3;0;4;4;13;1;0;3;8;0
3;7;1;2;3;0;8;4;17;4;419;3;115;0
12;5;3;9;55;1;41;19;67;0;68;11;199;0
24;1;6;19;325;0;150;74;281;4;0;26;8;1
3;2;1;2;3;0;8;8;25;1;8;3;19;0
4;5;4;0;36;2;9;11;34;3;384;9;85;0
8;3;1;8;210;0;78;36;141;9;97;21;84;0
20;3;1;20;78;0;89;100;274;1;69;13;37;1
21;6;3;19;78;1;67;34;120;0;69;13;216;0
35;2;4;34;741;0;369;331;1106;7;0;39;43;1
6;3;1;5;55;0;21;34;107;6;5;11;40;0
3;8;1;2;3;0;11;4;21;0;388;3;110;0
3;3;1;2;3;0;9;5;15;1;58;3;37;0
2;4;1;1;6;0;10;5;23;4;384;4;41;0
8;3;4;4;91;0;53;27;107;6;95;14;76;0
15;2;2;15;28;0;73;46;190;9;18;8;62;0
2;1;1;1;3;1;4;3;19;6;0;3;8;0
4;1;4;0;28;0;8;8;24;2;0;8;8;1
66;2;56;19;1540;4;244;235;724;9;28;56;16;3
38;1;3;35;120;0;174;150;629;10;0;16;9;0
14;7;2;12;45;1;91;61;244;1;387;10;101;1
2;6;1;1;28;0;26;18;56;2;408;8;101;0
3;2;1;2;3;0;19;11;79;4;8;3;19;0
7;2;4;3;21;0;24;19;71;5;1;7;12;0
37;4;7;33;666;1;297;293;947;9;49;37;148;1
9;5;1;9;78;0;78;33;129;0;57;13;202;0
16;2;1;15;55;0;78;37;281;4;18;11;62;0
44;2;21;28;406;0;280;226;687;13;262;29;80;4
2;2;2;0;0;0;1;1;3;0;2;1;33;0
2;1;2;0;0;0;1;1;3;1;0;1;23;0
24;2;19;6;703;1;84;342;1440;12;8;38;46;0
3;3;1;2;3;0;5;3;11;2;1;3;31;0
3;5;1;2;3;0;10;4;17;2;387;3;75;0
11;1;1;10;36;0;65;66;198;2;12;9;11;0
2;1;2;0;0;0;1;1;3;1;0;1;23;0
